"Fecha y Hora  del hecho","Fecha del hecho","Hora del hecho (HH:MM)","Dia de la Semana","Genero","Comuna","Modalidad","Arma/medio","Móvil agresor","Móvil víctima","Edad","Descripcion Conducta"
"2022 Jan 01 03:30:00 AM","2022 Jan 01 12:00:00 AM","1899-12-31T03:30:00.000","sábado","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","Conductor vehículo","38","Hurto a personas"
"2022 Jan 02 12:00:00 AM","2022 Jan 02 12:00:00 AM","1899-12-31T00:00:00.000","domingo","Femenino","3","Raponazo","Sin empleo de arma","A pie","A pie","45","Hurto a personas"
"2022 Jan 02 06:00:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T18:00:00.000","domingo","Masculino","6","Atraco","Arma de fuego","Pasajero motocicleta","A pie","73","Hurto a personas"
"2022 Jan 02 06:00:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T18:00:00.000","domingo","Masculino","7","Atraco","Arma de fuego","Pasajero motocicleta","Conductor vehículo","53","Hurto a personas"
"2022 Jan 02 07:30:00 PM","2022 Jan 02 12:00:00 AM","1899-12-31T19:30:00.000","domingo","Masculino","5","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","64","Hurto a personas"
"2022 Jan 03 01:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T01:00:00.000","lunes","Femenino","3","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor motocicleta","22","Hurto a personas"
"2022 Jan 03 06:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T06:00:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","A pie","Conductor vehículo","43","Hurto a personas"
"2022 Jan 03 07:00:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T07:00:00.000","lunes","Femenino","7","Atraco","Arma de fuego","Pasajero motocicleta","A pie","41","Hurto a personas"
"2022 Jan 03 10:30:00 AM","2022 Jan 03 12:00:00 AM","1899-12-31T10:30:00.000","lunes","Masculino","2","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","36","Hurto a personas"
"2022 Jan 03 01:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T13:30:00.000","lunes","Femenino","4","Raponazo","Sin empleo de arma","A pie","A pie","37","Hurto a personas"
"2022 Jan 03 03:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T15:30:00.000","lunes","Femenino","9","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","76","Hurto a personas"
"2022 Jan 03 04:30:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T16:30:00.000","lunes","Masculino","6","Atraco","Arma de fuego","Pasajero motocicleta","Conductor motocicleta","55","Hurto a personas"
"2022 Jan 03 08:00:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T20:00:00.000","lunes","Masculino","7","Atraco","Arma blanca","A pie","A pie","32","Hurto a personas"
"2022 Jan 03 11:00:00 PM","2022 Jan 03 12:00:00 AM","1899-12-31T23:00:00.000","lunes","Masculino","6","Factor de oportunidad","Sin empleo de arma","A pie","A pie","23","Hurto a personas"
"2022 Jan 04 01:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T01:30:00.000","martes","Masculino","8","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","27","Hurto a personas"
"2022 Jan 04 02:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T02:30:00.000","martes","Masculino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","54","Hurto a personas"
"2022 Jan 04 05:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T05:30:00.000","martes","Femenino","10","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","55","Hurto a personas"
"2022 Jan 04 05:30:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T05:30:00.000","martes","Femenino","6","Atraco","Arma blanca","Pasajero motocicleta","Conductor motocicleta","53","Hurto a personas"
"2022 Jan 04 11:45:00 AM","2022 Jan 04 12:00:00 AM","1899-12-31T11:45:00.000","martes","Femenino","2","Atraco","Sin empleo de arma","A pie","A pie","28","Hurto a personas"
"2022 Jan 04 05:00:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T17:00:00.000","martes","Femenino","5","Raponazo","Sin empleo de arma","Pasajero motocicleta","Conductor motocicleta","39","Hurto a personas"
"2022 Jan 04 05:00:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T17:00:00.000","martes","Femenino","6","Atraco","Arma blanca","Conductor motocicleta","A pie","18","Hurto a personas"
"2022 Jan 04 06:30:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T18:30:00.000","martes","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","A pie","48","Hurto a personas"
"2022 Jan 04 06:30:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T18:30:00.000","martes","Femenino","10","Atraco","Arma de fuego","Pasajero motocicleta","A pie","69","Hurto a personas"
"2022 Jan 04 08:13:00 PM","2022 Jan 04 12:00:00 AM","1899-12-31T20:13:00.000","martes","Masculino","5","Rompimiento de vidrio","Contundente","A pie","A pie","37","Hurto a personas"
"2022 Jan 05 03:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T03:00:00.000","miércoles","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","54","Hurto a personas"
"2022 Jan 05 06:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T06:00:00.000","miércoles","Femenino","4","Factor de oportunidad","Sin empleo de arma","A pie","A pie","38","Hurto a personas"
"2022 Jan 05 06:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T06:00:00.000","miércoles","Masculino","9","Atraco","Arma blanca","A pie","A pie","29","Hurto a personas"
"2022 Jan 05 08:00:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T08:00:00.000","miércoles","Femenino","7","Raponazo","Sin empleo de arma","Pasajero motocicleta","A pie","27","Hurto a personas"
"2022 Jan 05 08:30:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T08:30:00.000","miércoles","Femenino","10","Atraco","Arma de fuego","A pie","A pie","34","Hurto a personas"
"2022 Jan 05 10:30:00 AM","2022 Jan 05 12:00:00 AM","1899-12-31T10:30:00.000","miércoles","Femenino","4","Raponazo","Sin empleo de arma","Conductor motocicleta","Conductor motocicleta","53","Hurto a personas"
